## [BeGaze]
## Converted from:	C:\Program Files\SMI\Experiment Suite 360\Experiment Center 2\Results\cogaid_rapidRead_1_8\P06-eye_data.idf
## Date:	28.03.2013 15:01:04
## Version:	BeGaze 3.2.28
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	783
## Reversed:	none
## [Run]
## Subject:	P06
## Description:	Run1
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
1497339333	SMP	1	834.98	566.09	834.98	566.09	
1497347703	SMP	1	798.34	423.12	798.34	423.12	
1497356094	SMP	1	832.98	559.08	832.98	559.08	
1497364457	SMP	1	806.70	435.11	806.70	435.11	
1497372728	SMP	1	807.56	451.61	807.56	451.61	
1497381070	SMP	1	810.29	444.35	810.29	444.35	
1497389510	SMP	1	834.14	445.00	834.14	445.00	
1497397698	SMP	1	859.09	452.11	859.09	452.11	
1497406078	SMP	1	893.22	458.28	893.22	458.28	
1497414457	SMP	1	881.51	450.86	881.51	450.86	
1497422836	SMP	1	895.85	439.03	895.85	439.03	
1497431074	SMP	1	905.39	455.10	905.39	455.10	
1497439461	SMP	1	859.50	467.14	859.50	467.14	
1497447826	SMP	1	862.96	459.98	862.96	459.98	
1497456212	SMP	1	876.87	479.65	876.87	479.65	
1497464454	SMP	1	847.36	464.49	847.36	464.49	
1497472836	SMP	1	881.75	474.33	881.75	474.33	
1497481214	SMP	1	887.57	443.45	887.57	443.45	
1497489581	SMP	1	889.10	469.42	889.10	469.42	
1497497820	SMP	1	897.90	467.95	897.90	467.95	
1497506199	SMP	1	898.47	479.83	898.47	479.83	
1497514567	SMP	1	900.78	474.21	900.78	474.21	
1497522840	SMP	1	919.87	470.41	919.87	470.41	
1497531189	SMP	1	912.86	471.23	912.86	471.23	
1497539576	SMP	1	958.75	474.48	958.75	474.48	
1497547948	SMP	1	1118.02	638.09	1118.02	638.09	
1497556214	SMP	1	0.00	0.00	0.00	0.00	
1497564583	SMP	1	0.00	0.00	0.00	0.00	
1497572975	SMP	1	0.00	0.00	0.00	0.00	
1497581326	SMP	1	0.00	0.00	0.00	0.00	
1497589564	SMP	1	0.00	0.00	0.00	0.00	
1497598113	SMP	1	0.00	0.00	0.00	0.00	
1497606362	SMP	1	0.00	0.00	0.00	0.00	
1497614736	SMP	1	0.00	0.00	0.00	0.00	
1497622982	SMP	1	0.00	0.00	0.00	0.00	
1497631387	SMP	1	0.00	0.00	0.00	0.00	
1497639757	SMP	1	0.00	0.00	0.00	0.00	
1497647969	SMP	1	0.00	0.00	0.00	0.00	
1497656393	SMP	1	0.00	0.00	0.00	0.00	
1497664751	SMP	1	0.00	0.00	0.00	0.00	
1497673115	SMP	1	0.00	0.00	0.00	0.00	
1497681340	SMP	1	843.25	995.68	843.25	995.68	
1497689694	SMP	1	1019.70	568.68	1019.70	568.68	
1497698171	SMP	1	888.09	533.08	888.09	533.08	
1497706480	SMP	1	905.51	435.80	905.51	435.80	
1497714705	SMP	1	822.42	380.56	822.42	380.56	
1497723405	SMP	1	769.01	405.72	769.01	405.72	
1497731470	SMP	1	798.25	383.56	798.25	383.56	
1497740338	SMP	1	704.05	402.57	704.05	402.57	
1497748145	SMP	1	745.65	414.53	745.65	414.53	
1497756512	SMP	1	714.62	426.66	714.62	426.66	
1497764811	SMP	1	745.75	385.16	745.75	385.16	
1497773225	SMP	1	714.74	421.47	714.74	421.47	
1497781414	SMP	1	734.92	433.26	734.92	433.26	
1497789876	SMP	1	723.08	429.20	723.08	429.20	
1497798183	SMP	1	715.57	433.45	715.57	433.45	
1497806465	SMP	1	724.86	434.71	724.86	434.71	
1497814800	SMP	1	712.98	408.48	712.98	408.48	
1497823221	SMP	1	702.54	433.75	702.54	433.75	
1497831579	SMP	1	722.56	353.79	722.56	353.79	
1497839815	SMP	1	710.73	220.70	710.73	220.70	
1497848143	SMP	1	718.69	109.82	718.69	109.82	
1497856524	SMP	1	723.11	215.11	723.11	215.11	
1497864912	SMP	1	717.87	132.75	717.87	132.75	
1497873209	SMP	1	625.42	111.26	625.42	111.26	
1497881577	SMP	1	627.49	107.57	627.49	107.57	
1497889954	SMP	1	709.56	130.01	709.56	130.01	
1497898247	SMP	1	723.34	152.58	723.34	152.58	
1497906595	SMP	1	721.72	154.57	721.72	154.57	
1497914923	SMP	1	733.50	177.96	733.50	177.96	
1497923300	SMP	1	729.03	178.32	729.03	178.32	
1497931572	SMP	1	695.16	162.64	695.16	162.64	
1497939950	SMP	1	702.95	107.61	702.95	107.61	
1497948253	SMP	1	633.69	181.22	633.69	181.22	
1497956724	SMP	1	704.22	154.09	704.22	154.09	
1497964987	SMP	1	632.96	155.31	632.96	155.31	
1497973308	SMP	1	713.53	148.72	713.53	148.72	
1497982021	SMP	1	709.86	161.77	709.86	161.77	
1497990115	SMP	1	666.28	139.58	666.28	139.58	
1497998297	SMP	1	646.26	132.97	646.26	132.97	
1498006707	SMP	1	709.65	140.53	709.65	140.53	
1498015063	SMP	1	663.62	128.19	663.62	128.19	
1498023419	SMP	1	683.22	136.83	683.22	136.83	
1498031676	SMP	1	746.24	275.83	746.24	275.83	
1498040079	SMP	1	672.52	138.18	672.52	138.18	
1498048430	SMP	1	709.45	92.85	709.45	92.85	
1498056716	SMP	1	711.61	270.84	711.61	270.84	
1498065095	SMP	1	670.58	116.80	670.58	116.80	
1498073386	SMP	1	681.83	91.09	681.83	91.09	
1498081819	SMP	1	629.82	140.45	629.82	140.45	
1498090023	SMP	1	670.66	128.25	670.66	128.25	
1498098376	SMP	1	672.34	130.70	672.34	130.70	
1498106763	SMP	1	632.41	107.36	632.41	107.36	
1498115205	SMP	1	667.30	125.58	667.30	125.58	
1498123426	SMP	1	626.00	111.60	626.00	111.60	
1498131817	SMP	1	666.41	107.36	666.41	107.36	
1498140191	SMP	1	683.67	146.37	683.67	146.37	
1498148576	SMP	1	670.95	93.15	670.95	93.15	
1498156839	SMP	1	691.57	142.09	691.57	142.09	
1498165140	SMP	1	669.53	120.23	669.53	120.23	
1498173540	SMP	1	715.47	128.95	715.47	128.95	
1498181770	SMP	1	633.72	130.93	633.72	130.93	
1498190179	SMP	1	681.73	132.83	681.73	132.83	
1498198571	SMP	1	659.35	143.07	659.35	143.07	
1498206985	SMP	1	671.70	134.03	671.70	134.03	
1498215163	SMP	1	626.52	135.75	626.52	135.75	
1498223570	SMP	1	669.64	129.94	669.64	129.94	
1498231899	SMP	1	657.81	132.21	657.81	132.21	
1498240308	SMP	1	665.13	124.86	665.13	124.86	
1498248537	SMP	1	665.83	132.06	665.83	132.06	
1498256986	SMP	1	749.22	365.11	749.22	365.11	
1498265253	SMP	1	683.48	456.38	683.48	456.38	
1498273710	SMP	1	634.90	152.05	634.90	152.05	
1498281944	SMP	1	673.08	147.21	673.08	147.21	
1498290284	SMP	1	697.52	96.56	697.52	96.56	
1498298691	SMP	1	920.30	130.10	920.30	130.10	
1498307169	SMP	1	924.84	130.62	924.84	130.62	
1498315294	SMP	1	893.19	85.52	893.19	85.52	
1498323661	SMP	1	918.75	153.95	918.75	153.95	
1498332069	SMP	1	894.64	105.35	894.64	105.35	
1498340304	SMP	1	870.28	111.42	870.28	111.42	
1498348695	SMP	1	864.68	111.96	864.68	111.96	
1498357125	SMP	1	847.25	131.06	847.25	131.06	
1498365398	SMP	1	812.72	90.77	812.72	90.77	
